OccurrenceTime,Level,Latitude,Longitude,Depth,Location
2021-02-10 21:02:03,5.9,-23.05,171.7,10,洛亚蒂群岛
2021-02-10 20:52:26,6.2,-5.70,101.6,10,印尼苏门答腊岛南部海域
2021-02-10 20:24:24,5.7,-22.95,171.45,10,洛亚蒂群岛
2021-02-10 13:12:27,3,29.44,104.54,9,四川内江市威远县
2021-02-10 06:40:30,3,44.4,80.76,22,新疆伊犁州霍城县
2021-02-09 10:55:48,5.5,-5.20,151.7,50,新不列颠岛地区
2021-02-09 09:50:11,3.3,28.01,87.9,10,西藏日喀则市定结县
2021-02-09 00:58:01,5.3,24.32,122.12,20,台湾宜兰县海域
2021-02-09 00:56:31,4,24.32,122.43,20,台湾宜兰县海域
2021-02-08 23:34:00,3.2,24.29,118.89,19,福建泉州市晋江市海域
2021-02-07 23:38:02,3.2,39.41,74.53,8,新疆克孜勒苏州乌恰县
2021-02-07 13:45:53,6.2,-3.50,146,10,俾斯麦海
2021-02-07 12:22:54,5.9,6.77,125.21,10,菲律宾棉兰老岛
2021-02-07 01:36:04,5.2,24.65,122.5,70,台湾宜兰县海域
2021-02-06 22:54:29,4.2,38.59,93.8,10,青海海西州茫崖市
2021-02-05 01:02:04,4.3,36.86,77.02,100,新疆喀什地区叶城县
2021-02-04 20:14:27,5.4,-22.80,172,10,洛亚蒂群岛
2021-02-04 16:14:02,5.1,21.44,121.92,20,巴坦群岛海域
2021-02-04 14:58:26,3,42.11,81.04,11,新疆阿克苏地区拜城县
2021-02-04 13:06:23,4.3,28.64,87.52,28,西藏日喀则市定日县
2021-02-04 12:12:49,3.4,41.11,83.41,14,新疆阿克苏地区沙雅县
2021-02-03 07:58:37,5.5,-22.78,171.85,10,洛亚蒂群岛
2021-02-03 04:49:27,5.8,-16.24,177.94,10,斐济群岛地区
2021-02-03 01:34:11,3.9,36.15,76.51,10,新疆喀什地区塔什库尔干县
2021-02-02 22:42:12,2.1,39.84,117.41,16,天津蓟州区
2021-02-02 11:23:30,3,41.21,83.61,10,新疆阿克苏地区库车市
2021-02-02 10:31:15,4.7,28.55,87.5,10,西藏日喀则市定日县
2021-02-01 20:38:37,3.2,43.65,84.49,10,新疆伊犁州尼勒克县
2021-02-01 03:05:13,5.9,2.78,-59.54,10,圭亚那
2021-01-31 22:40:19,3.3,43.68,81.68,16,新疆伊犁州伊宁县
2021-01-30 03:47:54,5.7,-13.95,121.75,10,澳大利亚西北部附近海域
2021-01-29 20:41:39,5.4,8,-83.10,10,哥斯达黎加沿岸近海
2021-01-28 15:29:31,4.5,22.49,121.12,10,台湾台东县海域
2021-01-28 13:15:58,3.2,40.48,82.77,20,新疆阿克苏地区沙雅县
2021-01-27 21:51:29,3.6,39.38,94.74,10,甘肃酒泉市阿克塞县
2021-01-26 12:17:56,5.4,-7.05,155.8,100,所罗门群岛
2021-01-25 19:39:22,4,24.83,122.27,95,台湾宜兰县海域
2021-01-25 15:53:21,5,-4.60,152.3,110,新不列颠岛地区
2021-01-25 03:01:22,5.1,37.05,71.6,150,塔吉克斯坦
2021-01-24 13:47:54,5.7,-51.15,161.93,10,麦夸里岛附近海域
2021-01-24 09:53:07,3.2,40.65,111.49,13,内蒙古呼和浩特市土默特左旗
2021-01-24 07:36:52,7,-61.70,-55.60,10,南设得兰群岛
2021-01-24 03:38:51,3,48.72,125.29,10,黑龙江齐齐哈尔市讷河市
2021-01-24 00:58:50,5.4,-6.31,147.6,30,巴布亚新几内亚
2021-01-23 22:28:44,3.1,18.38,110.91,10,南海海域
2021-01-23 11:19:50,5.6,-6.45,147.55,30,巴布亚新几内亚
2021-01-23 10:59:00,3.8,40.44,110.24,10,内蒙古鄂尔多斯市达拉特旗
2021-01-23 09:59:10,4.7,28.18,104.22,10,云南昭通市盐津县
2021-01-22 03:34:25,3.5,28.09,105.03,8,四川宜宾市兴文县
2021-01-21 21:42:40,4.6,36.68,76.94,100,新疆喀什地区叶城县
2021-01-21 20:23:06,6.9,4.95,127.55,110,印尼塔劳群岛
2021-01-21 15:28:00,2.4,43.89,87.84,10,新疆乌鲁木齐市米东区（有感）
2021-01-21 06:43:44,3.1,47.05,85.65,19,新疆塔城地区和布克赛尔县
2021-01-21 00:00:41,5.6,49.71,147.87,580,鄂霍次克海
2021-01-20 21:42:29,3,44.51,83.17,17,新疆博尔塔拉州精河县
2021-01-19 13:01:04,5.5,-7.41,125.42,430,班达海
2021-01-19 10:46:20,6.6,-31.85,-68.70,10,阿根廷
2021-01-19 02:21:28,4.6,35.79,123.97,12,黄海海域
2021-01-18 15:17:18,5.3,-14.61,167.19,170,瓦努阿图群岛
2021-01-18 03:52:20,3.3,35.83,82.36,10,新疆和田地区于田县
2021-01-18 03:51:21,3.4,35.81,82.33,10,新疆和田地区于田县
2021-01-17 12:44:44,4.1,24.33,99.36,8,云南保山市昌宁县
2021-01-17 07:23:30,3.2,32.77,105.66,14,陕西汉中市宁强县
2021-01-17 07:10:56,5.1,22.44,121.44,20,台湾台东县海域
2021-01-17 04:02:46,5.6,36.45,70.76,200,阿富汗
2021-01-17 00:21:57,2.8,40.52,123.05,12,辽宁鞍山市岫岩县
